Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1629587883	2021-08-22 00:04:55	19.5095717593	3.20374527283e-09	1.14332951505e-10	1.41788641595	0.00733887668975	42.0	49.0	40.0	46.0	50.0	23.1	4.0	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.6083984375	63.8069230572	320.078127384	25.8044862209	0.0	162.0	-0.5859375	0.01285546875	3.0323046875	39.2581262771	39.2613821212	27.8701171875	27.8777592806	27.8598838115	37.379296875	33.5642567217	
1629588783	2021-08-22 00:19:55	19.5199884259	3.18131361724e-09	1.16359126662e-10	1.42788597217	0.00557953833625	42.0	49.0	40.0	46.0	49.0	23.1	4.0	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.5314941406	62.388679145	320.004882962	25.7360393078	0.0	186.0	-0.48828125	0.01273828125	3.0328125	39.2581262771	39.2613821212	27.865234375	27.8777592806	27.8605761441	37.3931640625	33.5642567217	
1629589683	2021-08-22 00:34:55	19.5304050926	3.22633509552e-09	1.15341590009e-10	1.42788597217	0.00642155151462	42.0	49.0	40.0	45.0	50.0	23.1	3.96	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.4545898438	62.6261432728	320.004882962	25.6675923948	0.0	206.0	7.48046875	0.01280078125	3.0327734375	39.2581262771	39.2613821212	27.8427734375	27.8777592806	27.8605831518	37.420703125	33.5001678518	
1629590583	2021-08-22 00:49:55	19.5408217593	3.22633509552e-09	1.15341590009e-10	1.40795688711	0.00590221394534	42.0	49.0	40.0	45.0	49.0	23.1	3.96	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.3776855469	61.941915978	320.078127384	25.5763298441	0.0	186.0	-0.6640625	0.0129609375	3.03296875	39.2581262771	39.2613821212	27.814453125	27.8550951657	27.8564574892	37.46953125	33.4513382366	
1629591483	2021-08-22 01:04:54	19.5512268519	3.22633509552e-09	1.14332951505e-10	1.42788597217	0.00615640892894	42.0	49.0	40.0	45.0	49.0	23.1	3.96	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.3117675781	63.2164528631	320.078127384	25.5306985687	0.0	165.0	-0.60546875	0.0130234375	3.0337109375	39.2581262771	39.2613821212	27.7548828125	27.8550951657	27.8474163838	37.512890625	33.3933530686	
1629592383	2021-08-22 01:19:55	19.5616435185	3.22633509552e-09	1.15341590009e-10	1.41788641595	0.0072874821726	42.0	49.0	40.0	45.0	50.0	23.1	3.96	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.4106445312	63.6654957932	319.858394116	25.5535142064	0.0	182.0	0.83984375	0.01296484375	3.033671875	39.2581262771	39.2613821212	27.708984375	27.8192736734	27.8331599274	37.480078125	33.3628345592	
1629593283	2021-08-22 01:34:55	19.5720717593	3.20374527283e-09	1.15341590009e-10	1.41788641595	0.00798462664334	42.0	49.0	40.0	45.0	49.0	23.1	3.96	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.3776855469	64.7064445304	319.858394116	25.5763298441	0.0	178.0	-0.625	0.0130234375	3.0334765625	39.2581262771	39.2613821212	27.685546875	27.7798736367	27.8159604226	37.4810546875	33.3597827082	
1629594183	2021-08-22 01:49:55	19.5824884259	3.20374527283e-09	1.13333133337e-10	1.41788641595	0.00684082905672	42.0	49.0	40.0	45.0	49.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.3996582031	62.7748843352	319.931638539	25.5991454817	0.0	186.0	-0.52734375	0.01287890625	3.0334375	39.2581262771	39.2613821212	27.681640625	27.7401262322	27.7991313879	37.498046875	33.3628345592	
1629595083	2021-08-22 02:04:55	19.5928935185	3.20374527283e-09	1.13333133337e-10	1.41788641595	0.00684082905672	42.0	49.0	40.0	45.0	49.0	23.04	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.3776855469	64.5245606883	320.078127384	25.5535142064	0.0	159.0	-0.390625	0.01298046875	3.0333984375	39.2581262771	39.2613821212	27.6650390625	27.7026465499	27.7832263446	37.4984375	33.3445234535	
1629595983	2021-08-22 02:19:55	19.6033101852	3.22633509552e-09	1.14332951505e-10	1.41788641595	0.00637658107113	42.0	49.0	40.0	45.0	49.0	23.1	3.96	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.388671875	63.4223140832	320.151371807	25.5763298441	0.0	186.0	0.60546875	0.01283984375	3.0334375	39.2581262771	39.2613821212	27.6630859375	27.7026465499	27.7679896926	37.4884765625	33.3414716025	
1629596883	2021-08-22 02:34:54	19.6137268519	3.22633509552e-09	1.14332951505e-10	1.41788641595	0.00590221394534	42.0	49.0	40.0	45.0	49.0	23.1	3.96	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.30078125	63.0583834078	319.858394116	25.507882931	0.0	192.0	-0.52734375	0.01301171875	3.0333984375	39.2581262771	39.2613821212	27.6572265625	27.6707902947	27.7543442608	37.484375	33.3231604968	
1629597783	2021-08-22 02:49:54	19.6241435185	3.3182984806e-09	1.13333133337e-10	1.40795688711	0.00619982662202	42.0	49.0	40.0	45.0	49.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.1909179688	62.6318705659	319.858394116	25.4394360179	0.0	164.0	-0.5078125	0.012953125	3.033828125	39.2581262771	39.2613821212	27.626953125	27.6707902947	27.7396266738	37.537109375	33.2651753288	
1629598683	2021-08-22 03:04:55	19.6345601852	3.22633509552e-09	1.13333133337e-10	1.41788641595	0.00577907980955	41.0	49.0	40.0	45.0	49.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.212890625	63.1016570374	320.078127384	25.3938047426	0.0	190.0	-0.3515625	0.0130234375	3.0340625	39.2581262771	39.2613821212	27.5810546875	27.6395075241	27.7228674392	37.567578125	33.2193975646	
1629599583	2021-08-22 03:19:55	19.6449768519	3.24908420057e-09	1.12342058374e-10	1.41788641595	0.00586088044859	41.0	49.0	40.0	45.0	49.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.1579589844	62.8941362974	320.004882962	25.3709891049	0.0	191.0	-0.625	0.01258984375	3.0340625	39.2581262771	39.2613821212	27.5546875	27.6395075241	27.7034936529	37.5962890625	33.1766716514	
1629600483	2021-08-22 03:34:55	19.6553935185	3.22633509552e-09	1.12342058374e-10	1.40795688711	0.00607048358223	41.0	49.0	40.0	45.0	49.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.1140136719	62.6673921282	319.931638539	25.3253578295	0.0	197.0	-0.546875	0.01295703125	3.0343359375	39.2581262771	39.2613821212	27.513671875	27.6028471057	27.6815277752	37.6140625	33.136997589	
