Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1627902183	2021-08-02 11:49:56	0.000706018518519	3.15903902133e-09	1.73476984507e-13	1.95901320402	0.196791115238	20.0	21.0	20.0	23.0	20.0	23.1	2.56	5.0	26.0	5.0	21.0	21.0	24.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.072265625	0.0	19.9224829859	18.8913480026	0.0	263.0	-0.1953125	0.013046875	3.0844140625	22.2449903592	22.0508775814	21.2587890625	21.2470703125	0.0	48.0658203125	21.6559343242	
1627903083	2021-08-02 12:05:00	0.0111111111111	3.79666619815e-05	1.29897605166e-07	1.62043293479	0.0337234571296	29.0	33.0	26.0	38.0	39.0	23.04	5.09	28.0	25.0	28.0	35.0	35.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.2583007812	78.3393742089	19.9224829859	19.5301858577	0.0	61.0	-0.3515625	0.01326953125	3.0569140625	38.7154493512	38.7084417523	21.369140625	21.2869873047	21.2977864583	49.6427734375	23.6121707816	
1627903983	2021-08-02 12:20:00	0.0215393518519	3.69144532136e-05	5.84090192691e-08	1.71414573909	0.021507930955	32.0	38.0	31.0	41.0	44.0	23.04	5.09	30.0	26.0	30.0	40.0	40.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.4118652344	73.4885462059	20.2154606769	20.374364452	0.0	27.0	-0.25390625	0.01283984375	3.05234375	39.1117468062	39.2855177109	21.701171875	21.3835008001	21.4101888021	44.7845703125	24.9702444533	
1627904883	2021-08-02 12:35:00	0.0319444444444	3.22633509552e-09	4.00364531938e-08	1.70214149153	0.0176660821919	35.0	42.0	32.0	43.0	46.0	23.04	5.12	30.0	26.0	30.0	43.0	43.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2248535156	71.5284875916	21.1676381726	21.1500961333	0.0	19.0	-0.21484375	0.01308203125	3.049609375	39.1385126296	39.3420629685	22.1572265625	21.5419575849	21.5819444444	44.3513671875	26.2520218513	
1627905783	2021-08-02 12:50:00	0.0423611111111	3.18131361724e-09	3.13075486594e-08	1.71414573909	0.0141082620813	35.0	43.0	33.0	43.0	47.0	23.04	4.68	32.0	27.0	32.0	44.0	44.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.5654296875	70.2566336503	22.5592822047	21.7433027131	0.0	22.0	-0.2734375	0.0128203125	3.0475390625	39.1437311355	39.3454828446	22.673828125	21.8498846477	21.7926595052	44.13984375	27.3262733848	
1627906683	2021-08-02 13:05:00	0.0527777777778	3.15903902133e-09	2.4915612616e-08	1.70214149153	0.0143079590732	37.0	45.0	35.0	44.0	47.0	23.04	4.84	32.0	27.0	32.0	45.0	45.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.9279785156	69.3331536226	23.8044373913	22.1539841914	0.0	16.0	-0.15625	0.0131640625	3.04625	39.1491728011	39.3463144486	23.1669921875	22.3210531145	22.0205859375	43.97421875	28.1563768426	
1627907583	2021-08-02 13:20:00	0.0631944444444	3.18131361724e-09	2.2423187154e-08	1.69022131032	0.0152421579034	38.0	46.0	36.0	45.0	48.0	23.04	4.84	32.0	27.0	32.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.1696777344	71.0003489081	24.9031037324	22.541850032	0.0	25.0	-0.234375	0.012765625	3.045	39.1519136611	39.346749324	23.62890625	22.815636142	22.252202691	43.818359375	28.8338877529	
1627908483	2021-08-02 13:35:00	0.0736111111111	3.18131361724e-09	2.00036199418e-08	1.70214149153	0.0131508149361	38.0	47.0	37.0	45.0	48.0	23.04	4.81	33.0	28.0	33.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.3344726562	68.7463026505	25.7087923826	22.8384533219	0.0	20.0	-0.234375	0.0131484375	3.044453125	39.1518030349	39.3469305222	24.041015625	23.2977335885	22.4782459077	43.70625	29.3801690725	
1627909383	2021-08-02 13:49:59	0.0840277777778	3.15903902133e-09	1.73810612651e-08	1.69022131032	0.0125195312773	40.0	48.0	38.0	45.0	48.0	23.04	4.87	33.0	28.0	33.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.4333496094	68.6644958499	26.734214301	23.0666096988	0.0	11.0	-0.25390625	0.0127734375	3.0437890625	39.1525430862	39.3415918533	24.3759765625	23.702944762	22.7013042785	43.6353515625	29.816583758	
1627910283	2021-08-02 14:05:00	0.0944444444444	3.18131361724e-09	1.62016832875e-08	1.70214149153	0.0126078244971	40.0	48.0	38.0	45.0	48.0	23.04	4.9	33.0	28.0	33.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.6311035156	68.25122626	27.3934141057	23.2947660756	0.0	12.0	-0.37109375	0.0131796875	3.0430078125	39.153805751	39.3417349045	24.6806640625	24.0956343068	22.9351895988	43.54609375	30.1767021699	
