Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1629069483	2021-08-16 00:05:03	13.5100462963	3.20374527283e-09	1.17385639963e-10	1.36892928891	0.00403833501376	40.0	47.0	38.0	44.0	48.0	23.1	3.71	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.9714355469	59.6531011574	349.961851863	24.5952574236	0.0	170.0	-0.60546875	0.01284765625	3.037578125	39.2581262771	39.2613821212	26.6923828125	26.7777173343	26.913377335	37.9783203125	32.2885830256	
1629070383	2021-08-16 00:20:03	13.520462963	3.20374527283e-09	1.17385639963e-10	1.37858357802	0.00502130945648	40.0	47.0	38.0	43.0	48.0	23.1	3.75	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.9604492188	59.0229646917	350.035096286	24.5724417859	0.0	201.0	-0.5078125	0.013	3.0373046875	39.2581262771	39.2613821212	26.6748046875	26.7389235529	26.8832836131	37.997265625	32.264168218	
1629071283	2021-08-16 00:35:03	13.5308796296	3.20374527283e-09	1.17385639963e-10	1.38830595341	0.00427187982191	40.0	47.0	38.0	44.0	48.0	23.1	3.78	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.982421875	60.191928085	349.88860744	24.5724417859	0.0	181.0	1.77734375	0.0126171875	3.0375390625	39.2581262771	39.2613821212	26.6279296875	26.7000576762	26.853052072	37.987890625	32.2458571123	
1629072183	2021-08-16 00:50:03	13.5412962963	3.20374527283e-09	1.18421209104e-10	1.37858357802	0.00498614497751	40.0	47.0	38.0	44.0	47.0	23.1	3.78	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.9274902344	60.2580705025	350.035096286	24.5496261483	0.0	167.0	-0.625	0.01255859375	3.0373828125	39.2581262771	39.2613821212	26.599609375	26.6617062972	26.8229866131	37.9802734375	32.2275460067	
1629073083	2021-08-16 01:05:03	13.551712963	3.18131361724e-09	1.18421209104e-10	1.37858357802	0.0046152152841	40.0	47.0	38.0	44.0	48.0	23.1	3.75	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.9494628906	60.3054515244	350.035096286	24.5268105106	0.0	186.0	-0.625	0.0127109375	3.0371484375	39.2581262771	39.2613821212	26.58203125	26.6249246277	26.7942642173	37.991796875	32.2031311991	
1629073983	2021-08-16 01:20:03	13.5621296296	3.20374527283e-09	1.18421209104e-10	1.38830595341	0.00442465539976	40.0	47.0	38.0	44.0	48.0	23.1	3.75	36.0	29.0	36.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.9165039062	60.1889272642	350.035096286	24.5039948729	0.0	189.0	-0.09765625	0.0128203125	3.0375390625	39.2581262771	39.2613821212	26.5673828125	26.6249246277	26.766528901	38.024609375	32.1848200934	
1629074883	2021-08-16 01:35:03	13.5725462963	3.18131361724e-09	1.18421209104e-10	1.36892928891	0.00498614497751	40.0	47.0	38.0	44.0	48.0	23.1	3.75	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.7517089844	61.9885760315	350.181585131	24.4127323222	0.0	203.0	3.30078125	0.0128828125	3.037890625	39.2581262771	39.2613821212	26.53515625	26.5900272651	26.7400603469	38.0431640625	32.1543015839	
1629075783	2021-08-16 01:50:03	13.582962963	3.22633509552e-09	1.17385639963e-10	1.37858357802	0.00495122675714	40.0	47.0	38.0	43.0	48.0	23.1	3.71	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.8835449219	60.6529701448	350.035096286	24.4583635975	0.0	184.0	-0.56640625	0.01272265625	3.0377734375	39.2581262771	39.2613821212	26.521484375	26.5900272651	26.7143171852	38.0306640625	32.1359904782	
1629076683	2021-08-16 02:05:03	13.5933796296	3.18131361724e-09	1.17385639963e-10	1.37858357802	0.00468054187102	40.0	47.0	38.0	43.0	48.0	23.1	3.78	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.8835449219	61.0892449409	349.961851863	24.5039948729	0.0	183.0	-0.5078125	0.0126015625	3.037578125	39.2581262771	39.2613821212	26.51171875	26.5556444002	26.6886967624	38.0275390625	32.1298867763	
1629077583	2021-08-16 02:20:03	13.6037962963	3.18131361724e-09	1.18421209104e-10	1.37858357802	0.00509238414931	40.0	47.0	38.0	43.0	48.0	23.1	3.75	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.7626953125	61.1378305207	349.961851863	24.3899166845	0.0	191.0	0.15625	0.0128828125	3.03796875	39.2581262771	39.2613821212	26.49609375	26.5217039377	26.6649616881	38.0623046875	32.1024201178	
