Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1630279083	2021-08-30 00:04:44	27.5089467593	3.20374527283e-09	1.03803430374e-10	1.42788597217	0.00363430244063	42.0	49.0	40.0	45.0	49.0	23.1	4.09	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.1799316406	58.3373100843	319.858394116	25.2340952788	0.0	169.0	-0.234375	0.0126640625	3.0344140625	39.2581262771	39.2613821212	27.423828125	27.5165425755	27.6378075759	37.6419921875	33.0759605701	
1630279983	2021-08-30 00:19:44	27.5193518519	3.20374527283e-09	1.02895690705e-10	1.40795688711	0.00355848230019	42.0	49.0	40.0	45.0	49.0	23.1	4.03	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0480957031	57.3849573906	319.858394116	25.1656483657	0.0	162.0	-0.64453125	0.01283203125	3.034921875	39.2581262771	39.2613821212	27.3857421875	27.4781387636	27.6074315731	37.68984375	33.0179754021	
1630280883	2021-08-30 00:34:44	27.5297685185	3.20374527283e-09	1.02895690705e-10	1.41788641595	0.00376427628788	42.0	49.0	40.0	45.0	49.0	23.1	4.06	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0810546875	58.1479489999	319.858394116	25.1200170904	0.0	177.0	-0.60546875	0.01260546875	3.035078125	39.2581262771	39.2613821212	27.3330078125	27.4389550126	27.57482239	37.7169921875	32.9599902341	
1630281783	2021-08-30 00:49:44	27.5401851852	3.20374527283e-09	1.03803430374e-10	1.39809689526	0.00358357827646	42.0	49.0	40.0	45.0	49.0	23.1	4.06	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0151367188	57.6352966893	319.858394116	25.0972014527	0.0	165.0	-0.546875	0.01295703125	3.035	39.2581262771	39.2613821212	27.2822265625	27.3987586514	27.5403943519	37.71953125	32.9294717246	
1630282683	2021-08-30 01:04:44	27.5506018519	3.20374527283e-09	1.02895690705e-10	1.41788641595	0.00365993313374	42.0	49.0	39.0	45.0	49.0	23.1	4.06	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.9272460938	58.4346225013	319.931638539	25.074385815	0.0	178.0	7.91015625	0.013	3.0349609375	39.2581262771	39.2613821212	27.240234375	27.3175696047	27.505283974	37.7318359375	32.8745384075	
1630283583	2021-08-30 01:19:44	27.5610185185	3.20374527283e-09	1.01995889033e-10	1.41788641595	0.00365993313374	42.0	49.0	40.0	45.0	49.0	23.1	4.03	35.0	30.0	35.0	46.0	46.0	24.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.94921875	58.8412842532	320.151371807	25.0287545396	0.0	164.0	-0.60546875	0.01288671875	3.034921875	39.2581262771	39.2613821212	27.205078125	27.2771209102	27.4684102799	37.737890625	32.8379161962	
1630284483	2021-08-30 01:34:44	27.5714236111	3.20374527283e-09	1.01995889033e-10	1.42788597217	0.00371173807139	41.0	49.0	40.0	45.0	49.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.8942871094	58.2005136889	320.004882962	25.0059389019	0.0	189.0	-0.5859375	0.01300390625	3.0352734375	39.2581262771	39.2613821212	27.1474609375	27.2371703282	27.4314735679	37.7671875	32.8073976867	
1630285383	2021-08-30 01:49:44	27.5818518519	3.18131361724e-09	1.01995889033e-10	1.41788641595	0.00379082361351	41.0	49.0	40.0	45.0	49.0	23.1	4.06	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.9272460938	57.4889586021	320.004882962	25.0287545396	0.0	178.0	0.72265625	0.01262890625	3.034921875	39.2581262771	39.2613821212	27.1298828125	27.1978292785	27.3951388864	37.7615234375	32.7951902829	
1630286283	2021-08-30 02:04:44	27.5922685185	3.18131361724e-09	1.01103955942e-10	1.40795688711	0.00389889840017	41.0	49.0	40.0	45.0	49.0	23.1	4.03	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.8723144531	58.1448938325	320.004882962	24.9831232643	0.0	206.0	-0.56640625	0.0126484375	3.0352734375	39.2581262771	39.2613821212	27.0947265625	27.1597236787	27.3602587334	37.771875	32.7738273263	
1630287183	2021-08-30 02:19:44	27.6026851852	3.18131361724e-09	1.01995889033e-10	1.40795688711	0.00381755816251	41.0	49.0	40.0	45.0	49.0	23.1	4.06	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.8833007812	58.7848666928	320.078127384	24.9831232643	0.0	142.0	-0.60546875	0.01273046875	3.0355078125	39.2581262771	39.2613821212	27.0791015625	27.1597236787	27.3261351273	37.78359375	32.7524643696	
