Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1628119083	2021-08-05 00:04:56	2.51091435185	3.18131361724e-09	2.49840941089e-10	1.51046340923	0.00300617849725	41.0	49.0	40.0	45.0	48.0	23.04	4.37	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.3891601562	55.1420459482	299.93591113	24.3442854091	0.0	201.0	3.10546875	0.012609375	3.0380859375	39.2581262771	39.2613821212	26.564453125	26.6690206848	26.9252229618	38.1833984375	32.2916348766	
1628119983	2021-08-05 00:19:56	2.52133101852	3.20374527283e-09	2.49840941089e-10	1.51046340923	0.00300617849725	41.0	49.0	40.0	45.0	48.0	23.1	4.4	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.3232421875	55.5473593116	300.009155553	24.2986541337	0.0	165.0	0.09765625	0.01286328125	3.0381640625	39.2581262771	39.2613821212	26.5068359375	26.627366034	26.8754776195	38.205078125	32.2489089633	
1628120883	2021-08-05 00:34:57	2.53174768519	3.20374527283e-09	2.47656133396e-10	1.53184343446	0.00286187174746	41.0	50.0	39.0	45.0	48.0	23.1	4.37	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.3012695312	55.5871711803	299.93591113	24.2530228584	0.0	174.0	0.15625	0.01290625	3.0387109375	39.2581262771	39.2613821212	26.447265625	26.54468265	26.8249390754	38.2390625	32.2122867519	
1628121783	2021-08-05 00:49:56	2.54216435185	3.18131361724e-09	2.45490431398e-10	1.51046340923	0.00270541245645	41.0	49.0	40.0	45.0	48.0	23.04	4.34	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.2463378906	54.2484700115	300.082399976	24.2302072207	0.0	190.0	0.83984375	0.0128984375	3.03859375	39.2581262771	39.2613821212	26.3974609375	26.5030542156	26.7735551525	38.236328125	32.1909237953	
1628122683	2021-08-05 01:04:56	2.55258101852	3.22633509552e-09	2.43343668019e-10	1.53184343446	0.00230163007933	41.0	49.0	40.0	45.0	48.0	23.04	4.37	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.2243652344	54.2922198563	300.009155553	24.1845759453	0.0	197.0	0.13671875	0.0129765625	3.0390625	39.2581262771	39.2613821212	26.345703125	26.4614978765	26.7228180506	38.26171875	32.151249733	
1628123583	2021-08-05 01:19:56	2.56299768519	3.18131361724e-09	2.41215677645e-10	1.55352608567	0.00241768725634	41.0	49.0	40.0	44.0	48.0	23.1	4.37	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.19140625	53.9220325759	300.082399976	24.1389446699	0.0	156.0	0.234375	0.0127109375	3.03890625	39.2581262771	39.2613821212	26.294921875	26.4199120438	26.6722149429	38.294921875	32.1207312235	
1628124483	2021-08-05 01:34:56	2.57341435185	3.18131361724e-09	2.41215677645e-10	1.52111585898	0.00231786218306	41.0	49.0	40.0	45.0	48.0	23.1	4.4	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.19140625	53.8394621151	299.93591113	24.1161290323	0.0	200.0	0.25390625	0.0125859375	3.0390234375	39.2581262771	39.2613821212	26.2626953125	26.3376153523	26.621937155	38.2818359375	32.090212714	
1628125383	2021-08-05 01:49:56	2.58383101852	3.15903902133e-09	2.43343668019e-10	1.53184343446	0.00240075607267	41.0	49.0	39.0	44.0	48.0	23.04	4.37	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.1254882812	53.7392654899	300.082399976	24.0704977569	0.0	182.0	16.640625	0.0126171875	3.03921875	39.2581262771	39.2613821212	26.21875	26.2971895973	26.5734031052	38.3134765625	32.0505386517	
1628126283	2021-08-05 02:04:57	2.59424768519	3.18131361724e-09	2.39106296109e-10	1.53184343446	0.00223783047384	41.0	49.0	40.0	44.0	48.0	23.04	4.4	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.1145019531	52.9341785435	300.082399976	24.0704977569	0.0	179.0	0.09765625	0.01303125	3.039375	39.2581262771	39.2613821212	26.17578125	26.2574979027	26.525548474	38.3083984375	32.0139164403	
1628127183	2021-08-05 02:19:56	2.60465277778	3.20374527283e-09	2.34942710054e-10	1.48938178622	0.00210067282044	41.0	49.0	39.0	44.0	48.0	23.1	4.37	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0375976562	52.3890928723	300.082399976	24.0248664815	0.0	137.0	0.15625	0.01259765625	3.0398046875	39.2581262771	39.2613821212	26.1416015625	26.2179045197	26.4790589017	38.3345703125	31.9772942289	
