Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1630192683	2021-08-29 00:04:45	26.5090162037	3.18131361724e-09	1.06574980742e-10	1.42788597217	0.00442465539976	42.0	50.0	40.0	45.0	49.0	23.1	3.96	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.3996582031	59.0776526939	320.004882962	25.5991454817	0.0	211.0	15.4296875	0.01254296875	3.0326953125	39.2581262771	39.2613821212	27.767578125	27.7338605023	27.7429468424	37.4197265625	33.42997528	
1630193583	2021-08-29 00:19:45	26.5194328704	3.18131361724e-09	1.06574980742e-10	1.43795604965	0.00409549608363	42.0	50.0	40.0	45.0	49.0	23.1	4.03	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.3557128906	60.2914317694	320.004882962	25.5763298441	0.0	177.0	-0.52734375	0.0129765625	3.026953125	39.2581262771	39.2613821212	27.7470703125	27.7538570942	27.7446273181	37.45078125	33.3964049196	
1630194483	2021-08-29 00:34:45	26.5298611111	3.18131361724e-09	1.05643004435e-10	1.41788641595	0.00488212220599	42.0	50.0	40.0	45.0	50.0	23.1	4.03	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.3337402344	59.5554974729	320.004882962	25.5306985687	0.0	169.0	-0.56640625	0.0129453125	3.0331640625	39.2581262771	39.2613821212	27.728515625	27.7538570942	27.7436840862	37.466796875	33.371990112	
1630195383	2021-08-29 00:49:45	26.5402662037	3.20374527283e-09	1.04719178069e-10	1.41788641595	0.00448728468524	42.0	50.0	40.0	45.0	49.0	23.1	4.03	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.3557128906	60.9342312515	320.004882962	25.5306985687	0.0	160.0	1.93359375	0.01292578125	3.03328125	39.2581262771	39.2613821212	27.697265625	27.7538570942	27.7399074985	37.4572265625	33.3567308573	
1630196283	2021-08-29 01:04:46	26.5506828704	3.20374527283e-09	1.06574980742e-10	1.41788641595	0.00481398215095	42.0	50.0	40.0	46.0	50.0	23.1	4.06	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.3337402344	59.1335531674	319.711905271	25.5763298441	0.0	151.0	-0.5859375	0.01263671875	3.0328125	39.2581262771	39.2613821212	27.69140625	27.7256547557	27.7347021941	37.444921875	33.3536790063	
1630197183	2021-08-29 01:19:46	26.561087963	3.22633509552e-09	1.05643004435e-10	1.40795688711	0.00451893098286	42.0	50.0	40.0	45.0	49.0	23.1	4.06	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.2458496094	59.9864859828	320.078127384	25.507882931	0.0	176.0	-0.546875	0.0128515625	3.033125	39.2581262771	39.2613821212	27.677734375	27.7256547557	27.7287427639	37.4681640625	33.3353679006	
1630198083	2021-08-29 01:34:45	26.5715162037	3.20374527283e-09	1.06574980742e-10	1.40795688711	0.00451893098286	42.0	50.0	40.0	45.0	49.0	23.1	4.06	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.2678222656	59.5977117168	320.004882962	25.4850672933	0.0	160.0	-0.234375	0.01268359375	3.03296875	39.2581262771	39.2613821212	27.65234375	27.6925564964	27.7209726798	37.4951171875	33.3109530931	
1630198983	2021-08-29 01:49:45	26.5819328704	3.20374527283e-09	1.05643004435e-10	1.42788597217	0.0046152152841	42.0	50.0	40.0	45.0	49.0	23.1	4.03	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.30078125	59.7095735497	320.004882962	25.5306985687	0.0	190.0	-0.52734375	0.01296484375	3.0335546875	39.2581262771	39.2613821212	27.6376953125	27.6925564964	27.7115767615	37.47109375	33.2987456893	
1630199883	2021-08-29 02:04:45	26.592337963	3.20374527283e-09	1.05643004435e-10	1.42788597217	0.00458289470275	42.0	50.0	40.0	45.0	49.0	23.1	4.0	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.2788085938	59.0505530884	320.004882962	25.4850672933	0.0	174.0	-0.546875	0.01288671875	3.032890625	39.2581262771	39.2613821212	27.6279296875	27.6599891202	27.7019941662	37.4787109375	33.3079012421	
1630200783	2021-08-29 02:19:45	26.6027662037	3.22633509552e-09	1.05643004435e-10	1.40795688711	0.00427187982191	42.0	50.0	40.0	45.0	49.0	23.04	4.06	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.2568359375	59.7758215151	320.151371807	25.4850672933	0.0	170.0	-0.46875	0.01297265625	3.0334375	39.2581262771	39.2613821212	27.6220703125	27.6599891202	27.6927171441	37.49609375	33.2895901364	
1630201683	2021-08-29 02:34:45	26.6131712963	3.24908420057e-09	1.05643004435e-10	1.40795688711	0.00439366931872	42.0	50.0	40.0	45.0	49.0	23.1	4.03	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.1799316406	59.186635956	320.004882962	25.2340952788	0.0	165.0	9.453125	0.012984375	3.0335546875	39.2581262771	39.2613821212	27.61328125	27.6599891202	27.6834323786	37.50703125	33.2712790307	
1630202583	2021-08-29 02:49:46	26.623587963	3.22633509552e-09	1.06574980742e-10	1.41788641595	0.00427187982191	42.0	49.0	40.0	45.0	49.0	23.1	4.03	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.1909179688	59.8175558916	319.931638539	25.4394360179	0.0	173.0	-0.546875	0.012828125	3.03359375	39.2581262771	39.2613821212	27.587890625	27.6288996959	27.6718355268	37.530859375	33.2377086703	
1630203483	2021-08-29 03:04:45	26.6340046296	3.18131361724e-09	1.05643004435e-10	1.40795688711	0.00468054187102	42.0	49.0	40.0	45.0	49.0	23.1	4.0	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.2238769531	59.3852261028	319.858394116	25.4166203803	0.0	179.0	-0.546875	0.01304296875	3.033515625	39.2581262771	39.2613821212	27.5556640625	27.6288996959	27.6587934986	37.5255859375	33.2193975646	
1630204383	2021-08-29 03:19:45	26.6444328704	3.22633509552e-09	1.05643004435e-10	1.40795688711	0.00433234662819	42.0	49.0	40.0	45.0	49.0	23.1	4.0	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.1469726562	60.6666225376	319.931638539	25.4394360179	0.0	214.0	0.83984375	0.012640625	3.0334765625	39.2581262771	39.2613821212	27.546875	27.5962012374	27.64578864	37.5408203125	33.2163457137	
1630205283	2021-08-29 03:34:45	26.654837963	3.20374527283e-09	1.05643004435e-10	1.41788641595	0.00433234662819	42.0	49.0	40.0	45.0	49.0	23.1	4.06	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.1799316406	59.3463493108	320.151371807	25.4394360179	0.0	191.0	-0.546875	0.01257421875	3.0337109375	39.2581262771	39.2613821212	27.5322265625	27.5626114199	27.6329695381	37.5326171875	33.2041383099	
