Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1629674283	2021-08-23 00:04:53	20.5095023148	3.20374527283e-09	1.13333133337e-10	1.41788641595	0.00590221394534	42.0	49.0	40.0	45.0	49.0	23.1	3.96	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.2458496094	62.2361376001	320.004882962	25.4850672933	0.0	182.0	-0.48828125	0.012796875	3.03328125	39.2581262771	39.2613821212	27.7216796875	27.8146431942	27.9574537439	37.4962890625	33.3170567949	
1629675183	2021-08-23 00:19:54	20.5199074074	3.20374527283e-09	1.11359650158e-10	1.40795688711	0.00607048358223	42.0	49.0	40.0	45.0	49.0	23.1	3.96	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.2019042969	62.0063917819	320.151371807	25.4850672933	0.0	155.0	0.9375	0.01294921875	3.03328125	39.2581262771	39.2613821212	27.6728515625	27.7744107854	27.9240795336	37.4970703125	33.2865382855	
1629676083	2021-08-23 00:34:54	20.5303356481	3.20374527283e-09	1.13333133337e-10	1.41788641595	0.00573860862725	42.0	49.0	40.0	45.0	49.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.1140136719	62.5621233399	320.151371807	25.4394360179	0.0	171.0	-0.56640625	0.012875	3.0333203125	39.2581262771	39.2613821212	27.6337890625	27.733903104	27.8899134602	37.5189453125	33.2468642232	
1629676983	2021-08-23 00:49:54	20.5407407407	3.22633509552e-09	1.11359650158e-10	1.40795688711	0.00586088044859	41.0	49.0	40.0	45.0	49.0	23.1	3.96	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.125	62.9082116552	320.151371807	25.3938047426	0.0	165.0	-0.56640625	0.01292578125	3.03359375	39.2581262771	39.2613821212	27.6123046875	27.6936969117	27.8552835685	37.5408203125	33.2132938627	
1629677883	2021-08-23 01:04:53	20.5511574074	3.22633509552e-09	1.11359650158e-10	1.40795688711	0.00615640892894	41.0	49.0	40.0	45.0	49.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.1359863281	62.8754582728	320.078127384	25.4166203803	0.0	196.0	-0.3515625	0.01280078125	3.03390625	39.2581262771	39.2613821212	27.576171875	27.6544377884	27.8207205562	37.5357421875	33.1919309061	
1629678783	2021-08-23 01:19:53	20.5615740741	3.20374527283e-09	1.09420531473e-10	1.42788597217	0.00590221394534	41.0	49.0	40.0	45.0	49.0	23.1	4.0	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0590820312	63.1672787981	319.858394116	25.3709891049	0.0	183.0	4.66796875	0.01269921875	3.03359375	39.2581262771	39.2613821212	27.5478515625	27.6162174916	27.7877420795	37.5609375	33.1614123966	
1629679683	2021-08-23 01:34:53	20.5719791667	3.18131361724e-09	1.10385832899e-10	1.41788641595	0.00565851454292	41.0	49.0	39.0	45.0	49.0	23.1	3.96	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0810546875	61.7628280963	320.151371807	25.3481734672	0.0	175.0	-0.48828125	0.01299609375	3.0344140625	39.2581262771	39.2613821212	27.5224609375	27.5789082162	27.7551336	37.5626953125	33.1308938871	
1629680583	2021-08-23 01:49:53	20.5824074074	3.18131361724e-09	1.09420531473e-10	1.40795688711	0.00509238414931	41.0	49.0	40.0	45.0	49.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0261230469	62.0093765067	319.858394116	25.3481734672	0.0	166.0	-0.52734375	0.01285546875	3.03390625	39.2581262771	39.2613821212	27.505859375	27.5426869232	27.7239773027	37.584375	33.1064790796	
1629681483	2021-08-23 02:04:54	20.5928240741	3.20374527283e-09	1.10385832899e-10	1.41788641595	0.00565851454292	41.0	49.0	40.0	45.0	49.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.9711914062	61.375725061	319.931638539	25.2797265542	0.0	165.0	6.9140625	0.0129375	3.0338671875	39.2581262771	39.2613821212	27.474609375	27.5426869232	27.6933716573	37.5884765625	33.0912198248	
1629682383	2021-08-23 02:19:54	20.6032407407	3.20374527283e-09	1.11359650158e-10	1.40795688711	0.00577907980955	41.0	49.0	40.0	45.0	49.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.94921875	62.7725504361	320.297860652	25.2569109165	0.0	186.0	-0.625	0.012828125	3.0341015625	39.2581262771	39.2613821212	27.4580078125	27.5068359375	27.6638035549	37.6025390625	33.0515457625	
1629683283	2021-08-23 02:34:53	20.6136458333	3.20374527283e-09	1.10385832899e-10	1.41788641595	0.00586088044859	41.0	49.0	40.0	45.0	49.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.9272460938	62.6627357583	320.004882962	25.2569109165	0.0	179.0	-0.6640625	0.01269921875	3.034609375	39.2581262771	39.2613821212	27.412109375	27.4711324193	27.6340534579	37.6068359375	33.0088198492	
1629684183	2021-08-23 02:49:53	20.6240740741	3.22633509552e-09	1.10385832899e-10	1.40795688711	0.00491655307079	41.0	49.0	39.0	45.0	49.0	23.1	3.96	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.8503417969	63.1141954538	319.931638539	25.1656483657	0.0	176.0	0.60546875	0.01294921875	3.0344921875	39.2581262771	39.2613821212	27.384765625	27.4711324193	27.604085096	37.6537109375	32.963042085	
1629685083	2021-08-23 03:04:53	20.6344791667	3.20374527283e-09	1.08463671409e-10	1.40795688711	0.00565851454292	41.0	49.0	40.0	45.0	49.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.8503417969	60.5372268069	319.858394116	25.1200170904	0.0	214.0	-0.64453125	0.01274609375	3.0347265625	39.2581262771	39.2613821212	27.3505859375	27.4344425073	27.5728012795	37.668359375	32.9203161718	
1629685983	2021-08-23 03:19:53	20.6449074074	3.20374527283e-09	1.0751517889e-10	1.40795688711	0.00516446487693	41.0	49.0	40.0	45.0	49.0	23.1	4.28	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.861328125	61.7648940291	320.004882962	25.1656483657	0.0	163.0	-0.60546875	0.01258984375	3.034453125	39.2581262771	39.2613821212	27.3046875	27.396363124	27.5407764271	37.658203125	32.8989532151	
1629686883	2021-08-23 03:34:53	20.6553125	3.20374527283e-09	1.09420531473e-10	1.40795688711	0.00534916204509	41.0	49.0	39.0	45.0	49.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.8503417969	62.131768096	320.004882962	25.1656483657	0.0	176.0	-0.41015625	0.0129140625	3.034453125	39.2581262771	39.2613821212	27.2763671875	27.3577823511	27.5094981691	37.66328125	32.8959013642	
1629687783	2021-08-23 03:49:54	20.6657291667	3.18131361724e-09	1.09420531473e-10	1.40795688711	0.00527450348868	41.0	49.0	39.0	45.0	49.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.6965332031	62.4436283255	320.004882962	25.0515701773	0.0	183.0	14.78515625	0.01295703125	3.034765625	39.2581262771	39.2613821212	27.2607421875	27.3197554006	27.4792825667	37.7083984375	32.8409680471	
1629688683	2021-08-23 04:04:54	20.6761458333	3.22633509552e-09	1.09420531473e-10	1.41788641595	0.00509238414931	41.0	49.0	39.0	45.0	49.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.7514648438	59.9824020171	319.858394116	25.1656483657	0.0	191.0	-0.46875	0.01260546875	3.0349609375	39.2581262771	39.2613821212	27.2216796875	27.2834357959	27.4489802597	37.696484375	32.8196050905	
1629689583	2021-08-23 04:19:53	20.6865625	3.18131361724e-09	1.08463671409e-10	1.40795688711	0.00512829787346	41.0	48.0	40.0	45.0	49.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.6416015625	62.0883019773	320.078127384	25.0287545396	0.0	170.0	-0.48828125	0.01301171875	3.0347265625	39.2581262771	39.2613821212	27.1796875	27.2471522389	27.4187264968	37.7205078125	32.789086581	
1629690483	2021-08-23 04:34:53	20.6969791667	3.20374527283e-09	1.0751517889e-10	1.39809689526	0.00546313597647	41.0	48.0	40.0	45.0	49.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.7185058594	62.3805269038	320.004882962	25.0287545396	0.0	180.0	7.05078125	0.01298828125	3.034921875	39.2581262771	39.2613821212	27.16015625	27.2471522389	27.3886184246	37.7541015625	32.7494125187	
1629691383	2021-08-23 04:49:53	20.7073958333	3.20374527283e-09	1.09420531473e-10	1.40795688711	0.00498614497751	41.0	48.0	39.0	45.0	49.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.685546875	61.8686500719	320.151371807	24.9146763512	0.0	177.0	-0.625	0.012953125	3.0353515625	39.2581262771	39.2613821212	27.1376953125	27.2101018509	27.3581342916	37.752734375	32.7433088168	
1629692283	2021-08-23 05:04:53	20.7178009259	3.18131361724e-09	1.0751517889e-10	1.39809689526	0.00538688667947	41.0	48.0	39.0	45.0	48.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.6525878906	60.2923240057	320.151371807	24.9374919889	0.0	163.0	-0.52734375	0.012859375	3.0358203125	39.2581262771	39.2613821212	27.1171875	27.1731235581	27.3291615023	37.7576171875	32.7097384564	
1629693183	2021-08-23 05:19:53	20.7282291667	3.18131361724e-09	1.08463671409e-10	1.40795688711	0.00488212220599	41.0	48.0	39.0	45.0	48.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.6416015625	63.2336444171	320.22461623	24.9374919889	0.0	177.0	0.7421875	0.01261328125	3.035390625	39.2581262771	39.2613821212	27.0712890625	27.1368596634	27.3000545788	37.781640625	32.673116245	
1629694083	2021-08-23 05:34:54	20.7386458333	3.20374527283e-09	1.0751517889e-10	1.39809689526	0.00615640892894	41.0	48.0	39.0	44.0	49.0	23.1	3.93	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.5646972656	61.8211150789	320.078127384	24.9146763512	0.0	169.0	6.30859375	0.0129609375	3.0353125	39.2581262771	39.2613821212	27.052734375	27.1368596634	27.2706723377	37.803515625	32.6364940336	
