Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1628551083	2021-08-10 00:04:49	7.51052083333	3.22633509552e-09	1.44931713994e-10	1.46859440062	0.00478026959539	41.0	49.0	39.0	44.0	48.0	23.1	4.15	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.7626953125	59.4182303516	299.93591113	24.5268105106	0.0	193.0	2.96875	0.01265234375	3.0378515625	39.2581262771	39.2613821212	26.673828125	26.7164003513	26.7327987035	38.0888671875	32.4289681692	
1628551983	2021-08-10 00:19:49	7.5209375	3.20374527283e-09	1.43664315936e-10	1.45830976125	0.00512829787346	41.0	49.0	39.0	44.0	48.0	23.1	4.12	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.630859375	60.5713442912	300.155644398	24.4355479598	0.0	187.0	0.15625	0.01295703125	3.0380859375	39.2581262771	39.2613821212	26.6357421875	26.7164003513	26.722523471	38.1490234375	32.3465681936	
1628552883	2021-08-10 00:34:49	7.53135416667	3.15903902133e-09	1.43664315936e-10	1.48938178622	0.00512829787346	41.0	49.0	39.0	44.0	48.0	23.04	4.12	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.5539550781	61.386208419	300.082399976	24.3442854091	0.0	186.0	0.17578125	0.01289453125	3.0297265625	39.2581262771	39.2613821212	26.591796875	26.679864461	26.7077808467	38.1939453125	32.2733237709	
1628553783	2021-08-10 00:49:49	7.54177083333	3.20374527283e-09	1.42408001014e-10	1.46859440062	0.00561888768516	41.0	48.0	39.0	44.0	48.0	23.1	4.15	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.5759277344	60.6667084686	300.009155553	24.3442854091	0.0	182.0	0.72265625	0.01302734375	3.038828125	39.2581262771	39.2613821212	26.56640625	26.6420636273	26.6892596885	38.1966796875	32.2214423048	
1628554683	2021-08-10 01:04:49	7.55217592593	3.20374527283e-09	1.42408001014e-10	1.46859440062	0.00546313597647	41.0	48.0	39.0	44.0	48.0	23.1	4.12	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.5869140625	61.2726600664	300.009155553	24.3442854091	0.0	170.0	0.05859375	0.01283984375	3.0391015625	39.2581262771	39.2613821212	26.501953125	26.6028765992	26.6684510638	38.1984375	32.1970274972	
1628555583	2021-08-10 01:19:49	7.56260416667	3.20374527283e-09	1.41162672307e-10	1.45830976125	0.00569842086665	41.0	48.0	39.0	44.0	48.0	23.1	4.15	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.54296875	61.5505234214	300.082399976	24.2986541337	0.0	182.0	0.1171875	0.01298046875	3.0390234375	39.2581262771	39.2613821212	26.4716796875	26.5634667313	26.646069608	38.207421875	32.1573534349	
1628556483	2021-08-10 01:34:48	7.57300925926	3.18131361724e-09	1.42408001014e-10	1.45830976125	0.00520088694595	41.0	48.0	39.0	44.0	48.0	23.1	4.15	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.4990234375	61.992963893	299.93591113	24.2530228584	0.0	183.0	0.37109375	0.01259765625	3.039296875	39.2581262771	39.2613821212	26.4443359375	26.5241617292	26.6219080592	38.2044921875	32.1237830744	
1628557383	2021-08-10 01:49:49	7.5834375	3.20374527283e-09	1.42408001014e-10	1.46859440062	0.00590221394534	41.0	48.0	38.0	44.0	48.0	23.1	4.15	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.4880371094	62.1878669086	300.082399976	24.275838496	0.0	193.0	20.2734375	0.01268359375	3.0388671875	39.2581262771	39.2613821212	26.412109375	26.485915216	26.5968080518	38.2119140625	32.1085238197	
1628558283	2021-08-10 02:04:49	7.59384259259	3.20374527283e-09	1.41162672307e-10	1.45830976125	0.00554046455277	41.0	48.0	39.0	44.0	48.0	23.1	4.15	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.4990234375	61.7368918799	300.082399976	24.275838496	0.0	193.0	0.09765625	0.0127109375	3.0389453125	39.2581262771	39.2613821212	26.3935546875	26.4483437762	26.5724996111	38.2080078125	32.093264565	
1628559183	2021-08-10 02:19:49	7.60425925926	3.18131361724e-09	1.41162672307e-10	1.45830976125	0.00542487736449	41.0	48.0	38.0	44.0	48.0	23.1	4.12	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.4990234375	63.012723346	299.93591113	24.275838496	0.0	194.0	0.234375	0.01269921875	3.03875	39.2581262771	39.2613821212	26.3876953125	26.4124698511	26.5490330868	38.242578125	32.0749534593	
