Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1629847083	2021-08-25 00:04:51	22.5093287037	3.20374527283e-09	1.05643004435e-10	1.41788641595	0.00412437931637	41.0	49.0	39.0	45.0	49.0	23.1	3.93	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.94921875	59.704056626	320.078127384	25.1884640034	0.0	166.0	-0.52734375	0.01259765625	3.034609375	39.2581262771	39.2613821212	27.2763671875	27.3411971739	27.3082963993	37.668359375	32.9111606189	
1629847983	2021-08-25 00:19:50	22.5197453704	3.20374527283e-09	1.06574980742e-10	1.40795688711	0.0046152152841	41.0	49.0	39.0	45.0	49.0	23.1	3.96	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.9602050781	59.8913414622	320.004882962	25.1884640034	0.0	159.0	-0.4296875	0.012765625	3.034765625	39.2581262771	39.2613821212	27.2626953125	27.3057033872	27.304599051	37.657421875	32.908108768	
1629848883	2021-08-25 00:34:50	22.530162037	3.20374527283e-09	1.08463671409e-10	1.41788641595	0.00439366931872	41.0	49.0	40.0	45.0	49.0	23.1	3.96	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.8942871094	59.5646983899	319.858394116	25.1200170904	0.0	168.0	10.9765625	0.0127265625	3.0346875	39.2581262771	39.2613821212	27.2705078125	27.3057033872	27.299531828	37.6740234375	32.8867458113	
1629849783	2021-08-25 00:49:51	22.5405787037	3.18131361724e-09	1.06574980742e-10	1.40795688711	0.00458289470275	41.0	49.0	40.0	45.0	49.0	23.1	3.93	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.8173828125	60.8820482324	319.931638539	25.0972014527	0.0	178.0	-0.546875	0.01273828125	3.0350390625	39.2581262771	39.2613821212	27.2421875	27.2728050283	27.2930551599	37.7142578125	32.8379161962	
1629850683	2021-08-25 01:04:51	22.5509953704	3.20374527283e-09	1.05643004435e-10	1.39809689526	0.00430200699006	41.0	49.0	40.0	45.0	49.0	23.1	3.96	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.9052734375	59.4720291479	319.931638539	25.074385815	0.0	179.0	-0.546875	0.013	3.035234375	39.2581262771	39.2613821212	27.216796875	27.2728050283	27.2841320897	37.69765625	32.8196050905	
1629851583	2021-08-25 01:19:51	22.561412037	3.22633509552e-09	1.04719178069e-10	1.39809689526	0.00433234662819	41.0	49.0	40.0	45.0	49.0	23.1	3.96	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.8173828125	59.0521931675	319.931638539	25.0287545396	0.0	184.0	1.640625	0.01286328125	3.0355078125	39.2581262771	39.2613821212	27.1787109375	27.2397821414	27.2729543262	37.7236328125	32.7860347301	
1629852483	2021-08-25 01:34:51	22.5718287037	3.18131361724e-09	1.06574980742e-10	1.40795688711	0.00389889840017	41.0	49.0	39.0	45.0	49.0	23.1	4.28	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.8283691406	60.9465817026	320.004882962	25.0972014527	0.0	195.0	-0.60546875	0.01271875	3.0351171875	39.2581262771	39.2613821212	27.16015625	27.2043473417	27.259736657	37.727734375	32.7860347301	
1629853383	2021-08-25 01:49:50	22.5822453704	3.22633509552e-09	1.06574980742e-10	1.40795688711	0.00409549608363	41.0	49.0	40.0	45.0	49.0	23.1	3.96	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.685546875	58.4860662828	320.078127384	25.0059389019	0.0	189.0	-0.68359375	0.01296875	3.028984375	39.2581262771	39.2613821212	27.1494140625	27.2043473417	27.2465168891	37.74453125	32.7616199225	
1629854283	2021-08-25 02:04:50	22.592662037	3.20374527283e-09	1.06574980742e-10	1.39809689526	0.00379082361351	41.0	48.0	39.0	45.0	49.0	23.1	3.93	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.7624511719	58.7295539849	320.004882962	25.0059389019	0.0	173.0	-0.078125	0.0125625	3.0352734375	39.2581262771	39.2613821212	27.125	27.1694237626	27.2321028762	37.7447265625	32.7219458602	
1629855183	2021-08-25 02:19:51	22.6030787037	3.20374527283e-09	1.05643004435e-10	1.40795688711	0.00430200699006	41.0	48.0	39.0	45.0	49.0	23.1	3.93	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.7185058594	58.4489262594	319.931638539	24.9831232643	0.0	192.0	2.91015625	0.01299609375	3.0354296875	39.2581262771	39.2613821212	27.099609375	27.1694237626	27.2159061419	37.7447265625	32.7097384564	
