Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1630365483	2021-08-31 00:04:43	28.5088541667	3.18131361724e-09	9.76135421952e-11	1.41788641595	0.00365993313374	40.0	48.0	38.0	43.0	47.0	23.1	3.96	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.6857910156	57.8261172385	320.004882962	23.9564195685	0.0	156.0	-0.13671875	0.0127421875	3.0398828125	39.2581262771	39.2613821212	26.021484375	26.0892800965	26.2240138353	38.273828125	31.5805536058	
1630366383	2021-08-31 00:19:42	28.5192824074	3.18131361724e-09	9.76135421952e-11	1.41788641595	0.00401005435353	40.0	48.0	38.0	44.0	47.0	23.1	3.96	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.7956542969	60.5689403438	320.151371807	24.0476821192	0.0	208.0	-0.625	0.01294140625	3.039375	39.2581262771	39.2613821212	25.998046875	26.0502569211	26.1961617127	38.2572265625	31.6049684133	
1630367283	2021-08-31 00:34:42	28.5296875	3.18131361724e-09	9.76135421952e-11	1.41788641595	0.00373791487449	40.0	48.0	38.0	44.0	48.0	23.1	4.0	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.7956542969	57.624376166	320.078127384	24.0476821192	0.0	177.0	-0.56640625	0.013	3.0398046875	39.2581262771	39.2613821212	25.9990234375	26.0502569211	26.1715674645	38.2640625	31.6141239662	
1630368183	2021-08-31 00:49:43	28.5401041667	3.18131361724e-09	9.84746830639e-11	1.40795688711	0.00315776175693	40.0	48.0	38.0	44.0	48.0	23.1	3.96	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.6418457031	57.439720455	320.004882962	23.9564195685	0.0	201.0	-0.56640625	0.01293359375	3.0395703125	39.2581262771	39.2613821212	26.01171875	26.0149663119	26.1502800384	38.27578125	31.5958128605	
1630369083	2021-08-31 01:04:43	28.5505208333	3.20374527283e-09	9.76135421952e-11	1.40795688711	0.00358357827646	40.0	47.0	38.0	43.0	47.0	23.04	3.93	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.6198730469	57.93847453	320.004882962	23.8879726554	0.0	196.0	8.828125	0.012953125	3.0397265625	39.2581262771	39.2613821212	25.9833984375	26.0149663119	26.1290128334	38.300390625	31.5469832453	
1630369983	2021-08-31 01:19:43	28.5609375	3.18131361724e-09	9.76135421952e-11	1.40795688711	0.00348424394713	40.0	47.0	38.0	43.0	48.0	23.1	3.96	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.7297363281	57.798139435	320.004882962	23.9336039308	0.0	186.0	-0.56640625	0.012546875	3.03953125	39.2581262771	39.2613821212	25.9521484375	25.9853351772	26.1069629939	38.30078125	31.5286721397	
1630370883	2021-08-31 01:34:43	28.5713657407	3.20374527283e-09	9.93434208662e-11	1.41788641595	0.00334038129225	40.0	48.0	38.0	44.0	47.0	23.1	3.93	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.7077636719	57.0097509931	320.078127384	23.9792352062	0.0	190.0	-0.5078125	0.0129453125	3.0393359375	39.2581262771	39.2613821212	25.94921875	25.9853351772	26.0864833403	38.2802734375	31.5500350963	
1630371783	2021-08-31 01:49:42	28.5817708333	3.20374527283e-09	9.84746830639e-11	1.41788641595	0.00300617849725	40.0	47.0	38.0	43.0	47.0	23.1	4.0	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.54296875	57.3912727519	320.004882962	23.8879726554	0.0	207.0	0.83984375	0.0126796875	3.0396484375	39.2581262771	39.2613821212	25.9404296875	25.9524892513	26.0683013429	38.33046875	31.5164647359	
1630372683	2021-08-31 02:04:42	28.5921875	3.18131361724e-09	9.76135421952e-11	1.40795688711	0.00355848230019	40.0	47.0	38.0	43.0	47.0	23.1	3.93	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.4880371094	56.3991871733	320.297860652	23.7967101047	0.0	179.0	-0.64453125	0.012625	3.0401953125	39.2581262771	39.2613821212	25.8974609375	25.9524892513	26.0491097316	38.353125	31.449324015	
1630373583	2021-08-31 02:19:42	28.6026041667	3.18131361724e-09	9.93434208662e-11	1.39809689526	0.00294346250717	40.0	47.0	38.0	43.0	47.0	23.1	3.96	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.4990234375	57.8170286946	320.078127384	23.773894467	0.0	203.0	-0.56640625	0.0125546875	3.0401953125	39.2581262771	39.2613821212	25.8505859375	25.919508966	26.0271785266	38.355859375	31.4096499527	
