Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1628983083	2021-08-15 00:04:41	12.5101388889	3.20374527283e-09	1.23737713347e-10	1.27602787893	0.00655837471524	42.0	48.0	40.0	44.0	48.0	23.1	3.56	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.3449707031	64.0521953931	300.009155553	29.8200384533	3232.0	2693.0	749.6875	0.11399609375	3.16921875	39.2581262771	39.2613821212	26.83984375	26.8089116244	26.7821514052	37.8517578125	33.314004944	
1628983983	2021-08-15 00:19:41	12.5205439815	3.20374527283e-09	1.21583053992e-10	1.24065726225	0.0065124460921	42.0	49.0	40.0	44.0	48.0	23.1	3.59	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.3779296875	64.810386514	299.93591113	29.842854091	3233.0	2693.0	749.58984375	0.11415234375	3.169296875	39.2581262771	39.2613821212	26.83984375	26.8315757393	26.7899730321	37.8576171875	33.3231604968	
1628984883	2021-08-15 00:34:41	12.5309606481	3.20374527283e-09	1.23737713347e-10	1.23196887796	0.00619982662202	42.0	49.0	40.0	44.0	48.0	23.1	3.59	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.3889160156	64.6976688187	300.009155553	29.7287759026	3232.0	2693.0	749.70703125	0.114	3.1694140625	39.2581262771	39.2613821212	26.8564453125	26.8315757393	26.7977302032	37.859375	33.3231604968	
1628985783	2021-08-15 00:49:42	12.5413657407	3.20374527283e-09	1.22655652469e-10	1.24065726225	0.00655837471524	42.0	49.0	40.0	44.0	48.0	23.1	3.62	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.3669433594	63.1179066019	299.93591113	29.842854091	3231.0	2693.0	749.74609375	0.11375390625	3.1691796875	39.2581262771	39.2613821212	26.8740234375	26.8315757393	26.8054095485	37.863671875	33.3414716025	
1628986683	2021-08-15 01:04:42	12.5517939815	3.18131361724e-09	1.23737713347e-10	1.24065726225	0.0065124460921	42.0	49.0	40.0	44.0	48.0	23.1	3.62	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.421875	63.4830426682	300.082399976	29.842854091	3234.0	2693.0	749.6875	0.11374609375	3.1692578125	39.2581262771	39.2613821212	26.8583984375	26.8315757393	26.8124402018	37.851953125	33.3506271554	
1628987583	2021-08-15 01:19:42	12.5621990741	3.18131361724e-09	1.23737713347e-10	1.24065726225	0.00637658107113	42.0	49.0	40.0	44.0	48.0	23.1	3.59	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.3449707031	64.7271311927	300.009155553	29.8884853664	3231.0	2693.0	749.82421875	0.11368359375	3.169453125	39.2581262771	39.2613821212	26.8427734375	26.8585131344	26.818358352	37.8671875	33.3231604968	
1628988483	2021-08-15 01:34:42	12.5726273148	3.20374527283e-09	1.22655652469e-10	1.23196887796	0.00611329529212	42.0	49.0	40.0	44.0	48.0	23.1	3.53	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.3449707031	62.8699587857	300.082399976	29.6831446272	3232.0	2693.0	749.6484375	0.113828125	3.16921875	39.2581262771	39.2613821212	26.841796875	26.8585131344	26.8220742284	37.8845703125	33.3170567949	
1628989383	2021-08-15 01:49:41	12.5830439815	3.20374527283e-09	1.22655652469e-10	1.24065726225	0.00573860862725	42.0	49.0	40.0	44.0	48.0	23.1	3.56	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.3889160156	63.9073165425	300.082399976	29.9341166417	3233.0	2693.0	749.765625	0.11404296875	3.16921875	39.2581262771	39.2613821212	26.841796875	26.8585131344	26.824693701	37.8703125	33.3414716025	
1628990283	2021-08-15 02:04:41	12.5934490741	3.20374527283e-09	1.24829320101e-10	1.24065726225	0.00619982662202	42.0	49.0	40.0	44.0	48.0	23.1	3.53	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.2790527344	63.2744423958	299.862666707	29.8884853664	3232.0	2693.0	749.6875	0.1138828125	3.169453125	39.2581262771	39.2613821212	26.8505859375	26.8585131344	26.8278600384	37.8435546875	33.3506271554	
1628991183	2021-08-15 02:19:41	12.6038657407	3.20374527283e-09	1.22655652469e-10	1.24065726225	0.00554046455277	42.0	49.0	40.0	44.0	48.0	23.1	3.53	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.3449707031	63.2328281652	300.082399976	29.7287759026	3234.0	2693.0	749.7265625	0.11408984375	3.1692578125	39.2581262771	39.2613821212	26.8525390625	26.8585131344	26.8316129354	37.88046875	33.3262123478	
1628992083	2021-08-15 02:34:42	12.6142824074	3.20374527283e-09	1.22655652469e-10	1.23196887796	0.00531170159821	42.0	49.0	40.0	44.0	48.0	23.1	3.56	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.2131347656	61.3678567773	299.93591113	29.7287759026	3233.0	2693.0	749.43359375	0.11375	3.169375	39.2581262771	39.2613821212	26.83203125	26.8585131344	26.8327719559	37.906640625	33.2773827326	
1628992983	2021-08-15 02:49:42	12.6247106481	3.20374527283e-09	1.21583053992e-10	1.24065726225	0.00546313597647	41.0	49.0	40.0	44.0	48.0	23.1	3.56	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0593261719	60.764927882	299.862666707	29.5462508011	3234.0	2693.0	749.78515625	0.1138203125	3.1694921875	39.2581262771	39.2613821212	26.7802734375	26.8585131344	26.8305266523	37.9568359375	33.1888790551	
1628993883	2021-08-15 03:04:42	12.6351157407	3.20374527283e-09	1.21583053992e-10	1.22334133885	0.00478026959539	41.0	48.0	40.0	43.0	48.0	23.1	3.53	34.0	29.0	34.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.982421875	60.6708562981	300.082399976	29.5462508011	3232.0	2693.0	749.7265625	0.11405859375	3.1695703125	39.2581262771	39.2613821212	26.7236328125	26.8341383966	26.821216742	37.9853515625	33.1217383343	
