1629325983	2021-08-18 23:19:59	16.4785648148	3.18131361724e-09	1.11359650158e-10	1.27602787893	0.00202814027835	41.0	48.0	40.0	44.0	48.0	23.1	3.59	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.5866699219	53.2497921359	320.078127384	27.6069215979	3229.0	2694.0	699.84375	0.105671875	3.1694140625	39.2581262771	39.2613821212	26.6572265625	26.7249239723	26.8998394403	37.9060546875	33.0057679983	
1629326883	2021-08-18 23:34:59	16.4889814815	3.22633509552e-09	1.10385832899e-10	1.29408955992	0.00207135361139	41.0	48.0	39.0	44.0	48.0	23.1	3.62	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.5207519531	53.3533313747	320.151371807	28.8389660329	3231.0	2694.0	609.7265625	0.07975	3.169609375	39.2581262771	39.2613821212	26.650390625	26.6867790478	26.867732289	37.9451171875	33.0118717002	
1629327783	2021-08-18 23:49:59	16.4993981481	3.18131361724e-09	1.10385832899e-10	1.29408955992	0.0021757993496	41.0	48.0	39.0	44.0	48.0	23.1	3.56	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.4987792969	53.7431792738	319.931638539	28.9530442213	3231.0	2694.0	538.2421875	0.08042578125	3.1659765625	39.2581262771	39.2613821212	26.59765625	26.6867790478	26.835189463	37.9365234375	32.963042085	
Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1629328683	2021-08-19 00:04:59	16.5098148148	3.20374527283e-09	1.10385832899e-10	1.30321604647	0.0021757993496	41.0	48.0	39.0	44.0	48.0	23.1	3.56	35.0	30.0	35.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.4438476562	54.007105436	319.858394116	28.4511001923	3233.0	2694.0	648.359375	0.07985546875	3.169296875	39.2581262771	39.2613821212	26.568359375	26.6492141621	26.802378689	37.9384765625	32.9294717246	
1629329583	2021-08-19 00:19:58	16.5202199074	3.20374527283e-09	1.10385832899e-10	1.2850269866	0.00208596170458	41.0	48.0	39.0	44.0	48.0	23.1	3.56	36.0	29.0	36.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.4658203125	53.4177451203	320.078127384	28.7477034822	3229.0	3236.0	699.5703125	0.105421875	3.16953125	39.2581262771	39.2613821212	26.5283203125	26.6112461986	26.7703359792	37.9845703125	32.8989532151	
1629330483	2021-08-19 00:34:59	16.5306365741	3.18131361724e-09	1.10385832899e-10	1.29408955992	0.00216056211893	41.0	48.0	39.0	44.0	48.0	23.1	3.56	36.0	29.0	36.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.4658203125	53.4150525489	320.004882962	28.9302285836	3232.0	2694.0	557.3828125	0.08014453125	3.1662890625	39.2581262771	39.2613821212	26.51171875	26.5739139839	26.7390236469	37.9630859375	32.9111606189	
1629331383	2021-08-19 00:49:59	16.5410648148	3.20374527283e-09	1.09420531473e-10	1.30321604647	0.00231786218306	41.0	48.0	39.0	44.0	48.0	23.1	3.56	36.0	29.0	36.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.3999023438	53.7334620783	319.858394116	28.7933347575	3231.0	2694.0	616.953125	0.0795390625	3.1659765625	39.2581262771	39.2613821212	26.4853515625	26.5373551542	26.7081355377	37.96484375	32.8867458113	
1629332283	2021-08-19 01:04:59	16.5514699074	3.20374527283e-09	1.08463671409e-10	1.31240689701	0.00250415119799	41.0	48.0	39.0	44.0	48.0	23.1	3.56	36.0	29.0	36.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.4328613281	55.2341043791	320.151371807	28.4282845546	3234.0	2694.0	538.45703125	0.10371484375	3.1662890625	39.2581262771	39.2613821212	26.4658203125	26.5373551542	26.6780431081	37.959375	32.8684347056	
1629333183	2021-08-19 01:19:59	16.5618981481	3.18131361724e-09	1.10385832899e-10	1.29408955992	0.00257554349531	41.0	48.0	40.0	44.0	48.0	23.1	3.53	36.0	29.0	36.0	46.0	46.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.509765625	55.3162913942	320.078127384	28.8161503952	3232.0	2694.0	671.9921875	0.07978515625	3.1693359375	39.2581262771	39.2613821212	26.4658203125	26.5016516359	26.6506924014	37.9625	32.8928495132	
